Food,Calories,Categories
Poppy Seed Oil,124.0,Dinner
Pork Chop,295.0,Other
Potato,110.0,Other
Potato Salad,136.0,Other
Potato Soup,192.0,Lunch
Poutine,511.0,Dinner
Prawn Crackers,16.0,Breakfast
Pretzel Sticks,46.0,Breakfast
Prickly Pear,8.0,Breakfast
Pulled Pork Sandwich,551.0,Dinner
Pumpkin,51.0,Breakfast
Pumpkin Seed Oil,123.0,Dinner
Pumpkin Soup,71.0,Lunch
Quattro Formaggi Pizza,330.0,Other
Quince,52.0,Breakfast
Quinoa,626.0,Dinner
Radishes,10.0,Breakfast
Rainbow Trout,140.0,Other
Raisins,434.0,Other
Rambutan,7.0,Breakfast
Ramen,380.0,Other
Raspberries,64.0,Breakfast
Ravioli,43.0,Breakfast
Red Cabbage,7.0,Breakfast
Red Pepper Pizza,165.0,Other
Reuben Sandwich,641.0,Dinner
Rhubarb,11.0,Breakfast
Rice Bran Oil,124.0,Dinner
Rigatoni,198.0,Other
Roast Beef,23.0,Breakfast
Roast Dinner,240.0,Other
Rockfish,110.0,Other
Rocky Road Ice Cream,290.0,Other
Rotini,198.0,Other
Rusk,41.0,Breakfast
Rutabaga,147.0,Other
Rye Bran,422.0,Other
Safflower Oil,120.0,Dinner
Sago,99.0,Breakfast
Salami Pizza,181.0,Other
Salmon,130.0,Other
Salmon Oil,128.0,Dinner
Samosa,107.0,Other
Sapodilla,141.0,Other
Sauce,50.0,Breakfast
Sausage Pizza,177.0,Other
Sausage Roll,361.0,Other
Sausage Rolls,101.0,Other
Savoury Biscuits,139.0,Other
Scallops,140.0,Other
Schwan,177.0,Other
Scotch Broth,80.0,Breakfast
Seafood Pizza,186.0,Other
Sesame Oil,124.0,Dinner
Shallots,18.0,Breakfast
Shea Oil,124.0,Dinner
Shells,300.0,Other
Shepherds Pie,159.0,Other
Shirataki Noodles,10.0,Breakfast
Shortbread,95.0,Lunch
Shrimp,100.0,Other
Shrimp Cocktail,130.0,Other
Shrimp Pizza,190.0,Other
Sicilian Pizza,321.0,Other
Sloppy Joe,101.0,Other
Sloppy Joes,397.0,Other
Smarties McFlurry,400.0,Other
Smoked Salmon,44.0,Breakfast
Snickers Ice Cream,180.0,Other
Soft Serve,191.0,Other
Solero,75.0,Breakfast
Soursop Fruit,413.0,Other
Soy Noodles,121.0,Other
Soy Oil,123.0,Dinner
Spaetzle,206.0,Other
Spaghetti,207.0,Other
Spaghetti Bolognese,374.0,Other
Spelt,588.0,Dinner
Spelt Bran,283.0,Other
Spelt Semolina,601.0,Dinner
Spicy Italian,480.0,Other
Spinach,78.0,Breakfast
Spinach Feta Pizza,150.0,Other
Spinach Pizza,145.0,Other
Spinach Tortellini,320.0,Other
Spirelli,206.0,Other
Spring Roll,350.0,Other
Spring Rolls,350.0,Other
Squash,88.0,Breakfast
Star Fruit,28.0,Breakfast
Starfruit,28.0,Breakfast
Strawberries,50.0,Breakfast
Strawberry Ice Cream,170.0,Other
Strawberry Sundae,281.0,Other
Stuffed Crust Pizza,380.0,Other
Subway Club Sandwich,312.0,Other
Succotash,221.0,Other
Summer Squash,20.0,Breakfast
Sundae,155.0,Other
Sunflower Oil,124.0,Dinner
Sunflower Seeds,818.0,Dinner
Sweet Cherries,100.0,Other
Sweet Corn,90.0,Breakfast
Sweet Potato,100.0,Other
Swordfish,120.0,Other
Taco,213.0,Other
Tagliatelle,207.0,Other
Tamarind,5.0,Breakfast
Tandoori Chicken,198.0,Other
Tangerine,50.0,Breakfast
Tarte Flambe,142.0,Other
Thai Soup,147.0,Lunch
Thin Crust Pizza,157.0,Other
Tilapia,110.0,Other
Tomato,18.0,Breakfast
Tomato Rice Soup,116.0,Lunch
Tomato Seed Oil,124.0,Dinner
Tomato Soup,74.0,Lunch
Tortellini,329.0,Other
Tortilla,467.0,Other
Tortilla Chips,160.0,Other
Tortilla Wrap,171.0,Other
Tuna,24.0,Breakfast
Tuna Pizza,318.0,Other
Turkey,29.0,Breakfast
Turkey Hill,190.0,Other
Turnip Greens,34.0,Breakfast
Turnips,34.0,Breakfast
Vanilla Cone,230.0,Other
Vanilla Ice Cream,145.0,Other
Vegetable Beef Soup,76.0,Lunch
Vegetable Broth,12.0,Breakfast
Vegetable Oil,120.0,Dinner
Vegetable Pizza,399.0,Other
Vegetable Soup,67.0,Lunch
Vegetable Stock,12.0,Breakfast
Vegetarian Pizza,399.0,Other
Veggie Burger,389.0,Other
Veggie Delight,229.0,Other
Veggie Patty,963.0,Dinner
Veggie Pizza,263.0,Other
Vermicelli,206.0,Other
Walnut Oil,124.0,Dinner
Wasabi,184.0,Other
Watermelon,80.0,Breakfast
Wedding Soup,130.0,Lunch
Wendy Baconator,839.0,Dinner
Wendy Jr. Bacon Cheeseburger,420.0,Other
Wendy Jr. Cheeseburger,290.0,Other
Wendy Son of Baconator,700.0,Dinner
Wheat Bran,125.0,Other
Wheat Germ,432.0,Other
Wheat Germ Oil,130.0,Dinner
Wheat Gluten,10.0,Breakfast
Wheat Semolina,601.0,Dinner
Wheat Starch,386.0,Other
White Pizza,571.0,Dinner
Whole Grain Noodles,194.0,Other
Whole Grain Spaghetti,197.0,Other
Whole Grain Wheat,407.0,Other
Wholegrain Oat,300.0,Other
Whopper,672.0,Dinner
Winter Squash,147.0,Other
Yorkshire Pudding,83.0,Breakfast
Zinger,517.0,Dinner
Zinger Burger,517.0,Dinner
Ziti,197.0,Other
Zucchini,33.0,Breakfast
